cooperative_id,cooperative_name,crop_type,area_mu,low_carbon_measure,G_ecological_potential,B_measure_fit,V_verification_feasibility,R_revenue_stability,C_performance_capacity,A_policy_fit,funding_need_wan,alpha_government_risk_share
COOP001,江北稻香农业合作社,水稻,5200,秸秆还田,0.78,0.82,0.73,0.69,0.76,1,18,0.35
COOP002,绿禾小麦种植合作社,小麦,3600,化肥减量,0.66,0.71,0.62,0.58,0.64,1,12,0.30
COOP003,清源玉米联合社,玉米,4100,保护性耕作,0.70,0.68,0.60,0.63,0.59,0,15,0.20
COOP004,丰泽大豆合作社,大豆,2800,化肥减量,0.55,0.60,0.52,0.49,0.57,0,10,0.10
COOP005,湖畔油菜专业合作社,油菜,6100,秸秆还田,0.81,0.77,0.75,0.72,0.79,1,22,0.45
COOP006,青山蔬菜合作社,蔬菜,1900,节能农机,0.48,0.56,0.46,0.54,0.51,1,8,0.25
COOP007,金穗水稻合作社,水稻,7400,保护性耕作,0.84,0.80,0.78,0.76,0.82,1,24,0.50
COOP008,田园麦香合作社,小麦,2300,秸秆还田,0.57,0.63,0.50,0.47,0.55,0,9,0.15
COOP009,北岸玉米合作社,玉米,6800,化肥减量,0.73,0.75,0.66,0.70,0.68,1,20,0.40
COOP010,沃土大豆合作社,大豆,3200,节能农机,0.42,0.49,0.44,0.40,0.46,0,11,0.05
COOP011,丰收油菜合作社,油菜,4500,保护性耕作,0.69,0.72,0.65,0.61,0.67,1,14,0.35
COOP012,春耕蔬菜合作社,蔬菜,2600,化肥减量,0.60,0.67,0.58,0.55,0.62,1,9,0.30
COOP013,河湾水稻合作社,水稻,8800,秸秆还田,0.88,0.85,0.82,0.79,0.84,1,28,0.55
COOP014,良田小麦合作社,小麦,5100,保护性耕作,0.76,0.74,0.70,0.68,0.71,1,17,0.40
COOP015,新垦玉米合作社,玉米,3000,节能农机,0.50,0.52,0.48,0.45,0.50,0,10,0.10
COOP016,富民大豆合作社,大豆,5700,秸秆还田,0.72,0.70,0.64,0.66,0.69,1,18,0.35
COOP017,澄湖油菜合作社,油菜,3900,化肥减量,0.62,0.65,0.59,0.57,0.61,0,13,0.20
COOP018,旭日蔬菜合作社,蔬菜,1500,节能农机,0.35,0.42,0.38,0.36,0.40,0,7,0.05
COOP019,东岭水稻合作社,水稻,6600,保护性耕作,0.80,0.78,0.74,0.73,0.77,1,21,0.45
COOP020,合兴玉米合作社,玉米,4800,秸秆还田,0.67,0.69,0.61,0.60,0.63,1,16,0.30
